Title,Authors,Journal,Year,Volume,Issue,Pages,DOI,Abstract,Keywords
When something goes wrong: Who is responsible for errors in ML decision-making?,"Berber, A.; Sreckovic, S.",Ai & Society,2024,39,4,1891-1903,10.1007/s00146-023-01640-1,"Because of its practical advantages, machine learning (ML) is increasingly used for decision-making in numerous sectors. This paper demonstrates that the integral characteristics of ML, such as semi-autonomy, complexity, and non-deterministic modeling have important ethical implications. In particular, these characteristics lead to a lack of insight and lack of comprehensibility, and ultimately to the loss of human control over decision-making. Errors, which are bound to occur in any decision-making process, may lead to great harm and human rights violations. It is important to have a principled way of assigning responsibility for such errors. The integral characteristics of ML, however, pose serious difficulties in defining responsibility and regulating ML decision-making. First, we elaborate on these characteristics and their epistemic and ethical implications. We then analyze possible general strategies for resolving the assignment of moral responsibility and show that, due to the specific way in which ML functions, each potential solution is problematic, whether we assign responsibility to humans, machines, or using hybrid models. Then, we shift focus on an alternative approach that bypasses moral responsibility and attempts to define legal liability independently through solutions such as informed consent and the no-fault compensation system. Both of these solutions prove unsatisfactory because they leave too much room for potential abuses of ML decision-making. We conclude that both ethical and legal solutions are fraught with serious difficulties. These difficulties prompt us to re-weigh the costs and benefits of using ML for high-stake decisions.",Machine learning; Algorithmic decision-making; Opacity; Responsibility; Liability; Hybrid responsibility; Machine responsibility; moral responsibility; machine; systems; Computer Science
Moral judgment in realistic traffic scenarios: moving beyond the trolley paradigm for ethics of autonomous vehicles,"Cecchini, D.; Brantley, S.; Dubljevic, V.",Ai & Society,2023,,,12,10.1007/s00146-023-01813-y,"The imminent deployment of autonomous vehicles requires algorithms capable of making moral decisions in relevant traffic situations. Some scholars in the ethics of autonomous vehicles hope to align such intelligent systems with human moral judgment. For this purpose, studies like the Moral Machine Experiment have collected data about human decision-making in trolley-like traffic dilemmas. This paper first argues that the trolley dilemma is an inadequate experimental paradigm for investigating traffic moral judgments because it does not include agents' character-based considerations and is incapable of facilitating the investigation of low-stakes mundane traffic scenarios. In light of the limitations of the trolley paradigm, this paper presents an alternative experimental framework that addresses these issues. The proposed solution combines the creation of mundane traffic moral scenarios using virtual reality and the Agent-Deed-Consequences (ADC) model of moral judgment as a moral-psychological framework. This paradigm shift potentially increases the ecological validity of future studies by providing more realism and incorporating character considerations into traffic actions.",Traffic moral judgment; Moral machine experiment; Trolley problem; ADC; model; Computer Science
"Human autonomy, technological automation (and reverse)","Chiodo, S.",Ai & Society,2022,37,1,39-48,10.1007/s00146-021-01149-5,"We continuously talk about autonomous technologies. But how can words qualifying technologies be the very same words chosen by Kant to define what is essentially human, i.e. being autonomous? The article focuses on a possible answer by reflecting upon both etymological and philosophical issues, as well as upon the case of autonomous vehicles. Most interestingly, on the one hand, we have the notion of (human) ""autonomy"", meaning that there is a ""law"" that is ""self-given"", and, on the other hand, we have the notion of (technological) ""automation"", meaning that there is something ""offhand"" that is ""self-given"". Yet, we are experiencing a kind of twofold shift: on the one hand, the shift from defining technologies in terms of automation to defining technologies in terms of autonomy and, on the other hand, the shift from defining humans in terms of autonomy to defining humans in terms of automation. From a philosophical perspective, the shift may mean that we are trying to escape precisely from what autonomy founds, i.e. individual responsibility of humans that, in the Western culture, have been defined for millennia as rational and moral decision-makers, even when their decisions have been the toughest. More precisely, the shift may mean that we are using technologies, and in particular emerging algorithmic technologies, as scapegoats that bear responsibility for us by making decisions for us. Moreover, if we consider the kind of emerging algorithmic technologies that increasingly surround us, starting from autonomous vehicles, then we may argue that we also seem to create a kind of technological divine that, by being always with us through its immanent omnipresence, omniscience, omnipotence and inscrutability, can always be our technological scapegoat freeing us from the most unbearable burden of individual responsibility resulting from individual autonomy.",Autonomy; Automation; Emerging algorithmic technologies; Autonomous; vehicles; Anarchism; Computer Science
The psychological and ethological antecedents of human consent to techno-empowerment of autonomous office assistants,"Modlinski, A.",Ai & Society,2023,38,2,647-663,10.1007/s00146-022-01534-8,"Human organizations' adoption of the paradigm of the Fourth Industrial Revolution is associated with the growth of techno-empowerment, which is the process of transferring autonomy in decision-making to intelligent machines. Particular persuasive strategies have been identified that may coax people to use intelligent devices. However, there is a substantial research gap regarding what antecedents influence human intention to assign decision-making autonomy to artificial agents. In this study, ethological and evolutionary concepts are applied to explain the drivers for autonomous assistants' techno-empowerment. The method used in the study was a 4 x 2 between-subject experiment made with 278 persons. The research tool used to collect the data was an online survey. The results show that more positive attitudes and higher trust, perceived usefulness, and perceived ease of use are correlated with higher intention to allow the autonomous assistant independence in decision-making. Second, the results suggest that the more human-like a non-human agent is, the higher the intention to empower it-but only if this agent simultaneously provides functional and visual anthropomorphic cues explainable by the mimicry effect.",Human-machine interaction; Autonomous systems; Anthropomorphism; Ethology; Techno-empowerment; Management issues; decision-making; user acceptance; model; workplace; attitudes; design; agents; trust; Computer Science
"Law, artificial intelligence, and synaesthesia","Neuwirth, R. J.",Ai & Society,2024,39,3,901-912,10.1007/s00146-022-01615-8,"In 2021, 193 Member States at UNESCO's General Conference adopted the Recommendation on the Ethics of Artificial Intelligence as the first important step towards a future global standard-setting instrument on the subject. The text reflects an emerging consensus among the international community about the growing ethical concerns with artificial intelligence (AI). Among these concerns are also serious risks and dangers attributed to the manipulative effects of AI, which can be further exacerbated by the creative combination of AI with other innovative technologies or applications, such as brain-computer interfaces (BCIs), functional magnetic resonance imaging (fMRI), robotics, and big data. The risks for individuals and society as a whole caused by manipulation through AI are already well known and have recently also been addressed by the European Union having released a proposal for an Artificial Intelligence Act (AIA). Among multiple risks related to AI, the AIA singles out the specific dangers related to AI systems that deploy ""subliminal techniques beyond a person's consciousness to materially distort a person's behaviour in a manner that causes or is likely to cause that person or another person physical or psychological harm "". The present article thus aims to highlight the known and potential dangers related to AI systems manipulating human thoughts and behaviour through subliminal and supraliminal means and methods. To this end, it advocates the joint study of law and the senses captured by the concept of legal synaesthesia to correspond to the need for an interdisciplinary debate covering the complexity of the links between AI, related technologies, human perception based on the senses and the mind, as well as the role and instruments of law in the future organization of societies in this world.",Law; Artificial Intelligence; Synaesthesia; Society; Neurolaw; Augmented; and Virtual Reality; Legal Synaesthesia; Essentially Oxymoronic; Concepts; Legal Semiotics; virtual-reality; science; Computer Science
The carousel of ethical machinery,"Pereira, L. M.",Ai & Society,2021,36,1,185-196,10.1007/s00146-020-00994-0,"Human beings have been aware of the risks associated with knowledge or its associated technologies since the dawn of time. Not just in Greek mythology, but in the founding myths of Judeo-Christian religions, there are signs and warnings against these dangers. Yet, such warnings and forebodings have never made as much sense as they do today. This stems from the emergence of machines capable of cognitive functions performed exclusively by humans until recently. Besides those technical problems associated with its design and conceptualization, the cognitive revolution, brought about by the development of AI also gives rise to social and economic problems that directly impact humanity. Therefore, it is vital and urgent to examine AI from a moral point of view. The moral problems are two-fold: on the one hand, those associated with the type of society we wish to promote through automation, complexification and power of data processing available today; on the other, how to program decision-making machines according to moral principles acceptable to those humans who will share knowledge and action with them.",Machine ethics; Ethical AI; Evolutionary morality; Social impacts of AI; Computer Science
Immune moral models? Pro-social rule breaking as a moral enhancement approach for ethical AI,"Ramanayake, R.; Wicke, P.; Nallur, V.",Ai & Society,2023,38,2,801-813,10.1007/s00146-022-01478-z,"We are moving towards a future where Artificial Intelligence (AI) based agents make many decisions on behalf of humans. From healthcare decision-making to social media censoring, these agents face problems, and make decisions with ethical and societal implications. Ethical behaviour is a critical characteristic that we would like in a human-centric AI. A common observation in human-centric industries, like the service industry and healthcare, is that their professionals tend to break rules, if necessary, for pro-social reasons. This behaviour among humans is defined as pro-social rule breaking. To make AI agents more human-centric, we argue that there is a need for a mechanism that helps AI agents identify when to break rules set by their designers. To understand when AI agents need to break rules, we examine the conditions under which humans break rules for pro-social reasons. In this paper, we present a study that introduces a 'vaccination strategy dilemma' to human participants and analyzes their response. In this dilemma, one needs to decide whether they would distribute COVID-19 vaccines only to members of a high-risk group (follow the enforced rule) or, in selected cases, administer the vaccine to a few social influencers (break the rule), which might yield an overall greater benefit to society. The results of the empirical study suggest a relationship between stakeholder utilities and pro-social rule breaking (PSRB), which neither deontological nor utilitarian ethics completely explain. Finally, the paper discusses the design characteristics of an ethical agent capable of PSRB and the future research directions on PSRB in the AI realm. We hope that this will inform the design of future AI agents, and their decision-making behaviour.",Machine ethics; Pro-social rule breaking; Pro-social behaviour; Artificial Intelligence; simulation theory; Computer Science
Algorithms and dehumanization: a definition and avoidance model,"Schultz, M. D.; Clegg, M.; Hofstetter, R.; Seele, P.",Ai & Society,2024,,,21,10.1007/s00146-024-02123-7,"Dehumanization by algorithms raises important issues for business and society. Yet, these issues remain poorly understood due to the fragmented nature of the evolving dehumanization literature across disciplines, originating from colonialism, industrialization, post-colonialism studies, contemporary ethics, and technology studies. This article systematically reviews the literature on algorithms and dehumanization (n = 180 articles) and maps existing knowledge across several clusters that reveal its underlying characteristics. Based on the review, we find that algorithmic dehumanization is particularly problematic for human resource management and the future of work, managerial decision-making, consumer ethics, hard- and soft-law regulation, and basic values, including privacy and consumer rights. From the literature synthesis, we also derive the following definition of algorithmic dehumanization: the act of using algorithms and data in a way that results in the intentional or unintentional treatment of individuals and/or groups as less than fully human, thereby violating human rights, including liberty, equality, and dignity. Ultimately, we present a dehumanization avoidance model that serves as a structured research agenda and practical guide to address the challenges raised by algorithmic dehumanization. Thus, the model indicates promising pathways for future research at the intersection of AI and society and facilitates reflection on organizational processes that support improving corporate capabilities and managerial decision-making to avoid algorithmic dehumanization.",Algorithms; Dehumanization; Systematic interpretative review; Dehumanization avoidance model; artificial-intelligence; discourse ethics; machines; people; rights; patient; cyborgs; robots; transhumanism; automation; Computer Science
"Morals, ethics, and the technology capabilities and limitations of automated and self-driving vehicles","Siegel, J.; Pappas, G.",Ai & Society,2023,38,1,213-226,10.1007/s00146-021-01277-y,"We motivate the desire for self-driving and explain its potential and limitations, and explore the need for-and potential implementation of-morals, ethics, and other value systems as complementary ""capabilities"" to the Deep Technologies behind self-driving. We consider how the incorporation of such systems may drive or slow adoption of high automation within vehicles. First, we explore the role for morals, ethics, and other value systems in self-driving through a representative hypothetical dilemma faced by a self-driving car. Through the lens of engineering, we explain in simple terms common moral and ethical frameworks including utilitarianism, deontology, and virtue ethics before characterizing their relationship to the fundamental algorithms enabling self-driving. The concepts of behavior cloning, state-based modeling, and reinforcement learning are introduced, with some algorithms being more suitable for the implementation of value systems than others. We touch upon the contemporary cross-disciplinary landscape of morals and ethics in self-driving systems from a joint philosophical and technical perspective, and close with considerations for practitioners and the public, particularly as individuals may not appreciate the nuance and complexity of using imperfect information to navigate diverse scenarios and tough-to-quantify value systems, while ""typical"" software development reduces complex problems to black and white decision-making.",Self-driving; Autonomous vehicles; Automated vehicles; Ethics; Morals; Value systems; Artificial intelligence; Computer Science
Why machines cannot be moral,"Sparrow, R.",Ai & Society,2021,36,3,685-693,10.1007/s00146-020-01132-6,"The fact that real-world decisions made by artificial intelligences (AI) are often ethically loaded has led a number of authorities to advocate the development of ""moral machines"". I argue that the project of building ""ethics"" ""into"" machines presupposes a flawed understanding of the nature of ethics. Drawing on the work of the Australian philosopher, Raimond Gaita, I argue that ethical dilemmas are problems for particular people and not (just) problems for everyone who faces a similar situation. Moreover, the force of an ethical claim depends in part on the life history of the person who is making it. For both these reasons, machines could at best be engineered to provide a shallow simulacrum of ethics, which would have limited utility in confronting the ethical and policy dilemmas associated with AI.",Artificial intelligence; Ethics; Machine ethics; Moral authority; Raimond Gaita; Computer Science
The Digital Nexus: tracing the evolution of human consciousness and cognition within the artificial realm-a comprehensive review,"Wang, Z.; Wu, D. T.",Ai & Society,2024,39,6,2703-2713,10.1007/s00146-023-01753-7,"This paper endeavors to appraise scholarly works from the 1940s to the contemporary era, examining the scientific quest to transpose human cognition and consciousness into a digital surrogate, while contemplating the potential ramifications should humanity attain such an abstract level of intellect. The discourse commences with an explication of theories concerning consciousness, progressing to the Turing Test apparatus, and intersecting with Damasio's research on the human cerebrum, particularly in relation to consciousness, thereby establishing congruence between the Turing Test and Damasio's notions of consciousness. Subsequently, the narrative traverses the evolutionary chronology of transmuting human cognition into machine sapience, and delves into the fervent endeavors to metamorphose human minds into synthetic counterparts. Additionally, theoretical perspectives from the domains of philosophy, psychology, and neuroscience provide insight into the constraints intrinsic to AI implementations, contentious hypotheses, the perils concealed within artificial networks, and the ethical considerations necessitated by AI frameworks. Furthermore, contemplation of prospective repercussions facilitates the refinement of strategic approaches to safeguard our future Augmented Age Realities within AI, circumventing the prospect of inhabiting an intimidating technopolis where a mere 30% monopolize the intellect and ingenuity of the remaining 70% of human minds.",Machine intelligence; Human consciousness; Cognitive transmutation; Ethical considerations; Augmented age realities; intelligence; Computer Science
Trust and robotics: a multi-staged decision-making approach to robots in community,"Zhang, W. X.; Wong, W. L.; Findlay, M.",Ai & Society,2024,39,5,2463-2478,10.1007/s00146-023-01705-1,"With the desired outcome of social good within the wider robotics ecosystem, trust is identified as the central adhesive of the human-robot interaction (HRI) interface. However, building trust between humans and robots involves more than improving the machine's technical reliability or trustworthiness in function. This paper presents a holistic, community-based approach to trust-building, where trust is understood as a multifaceted and multi-staged looped relation that depends heavily on context and human perceptions. Building on past literature that identifies dispositional and learned stages of trust, our proposed decision to trust model considers more extensively the human and situational factors influencing how trust manifests within social relations. Priority is given to the human user of technology-the initiator of human-robot trust relations-at all stages of decision-making. The envisioned formation of optimal conditions in which trust emerges requires the collective participation of practitioners, policymakers, and members of the community. With trust facilitating the smooth transition of robots into more socially embedded roles, positive receptivity of the best engineering project arises from the presence of harmonious robot-human trust relations in community spaces.",Social robots; Acceptability and trust; Design and human factors; Ethics; and governance declarations; prospect-theory; social robots; automation; anthropomorphism; metaanalysis; challenges; economics; emotion; systems; humans; Computer Science
Artificial intelligence-related anomies and predictive policing: normative (dis)orders in liberal democracies,"Behnam Shad, K.",AI and Society,2023,,,,10.1007/s00146-023-01751-9,"This article links three rarely considered dimensions related to the implementation of artificial intelligence (AI)-based technologies in the form of predictive policing and discusses them in relation to liberal democratic societies. The three dimensions are the theoretical embedding and the workings of AI within anomic conditions (1), potential normative disorders emerging from them in the form of thinking errors and discriminatory practices (2) as well as the consequences of these disorders on the psychosocial, and emotional level (3). Against this background, AI-induced anomie is conceptualized as a field of tension that refers to a systematic deterioration of democratic norms that are supposed to create ‘normative orders’, but which, when implemented through AI-supported measures, can reproduce existing discriminations, and establish new kinds of discriminatory relations. In future, these AI-based measures have the potential to lead to opposing normative disorders by emerging in the form of false social norms to an equally false Second Nature. They deprive persons involved of the possibility of individual appropriation of social norms and the specific emotional development associated with it. © 2023, The Author(s).",Affects and emotions; Anomies; Artificial intelligence; Predictive policing; Social norms; Economic and social effects; Affect and emotion; Anomy; Condition; Discriminatory practices; Embeddings; Social norm; Three dimensions; Deterioration
Mediation and communication of information in the cultural interface,"Gill, S. P.",AI and Society,1999,13,3,218-234,10.1007/BF01174778,"In man-machine communication, there is a relationship between what may be described as tacit (human) and explicit (machine) knowledge. The tacit lies in practice and the explicit in the formulation of the processes and content of this practice. However, when a human communicates with another human face to face, we may describe them as communicating aspects of the tacit and explicit dimension of their knowledge, i.e. the expression and its background of meaning for the particular situation. When this is unsuccessful in being communicated, some mediator (not necessarily a third person) is needed to provide the bridge for the particular discrepant aspects of the tacit and explicit dimensions to meet. This is achieved by making the tacit nature of the discrepancy in the communication explicit to both participants such that they both understand the background to their discrepancy. Once they become aware, it is possible for them to begin to resolve it. In considering what has been termed here the 'cultural interface', i.e. communication across cultures, the paper will explore the nature of discrepancies in communication and the means by which we can accommodate to each other's differences, either via third party help or between ourselves. The interaction of each person's tacit (background of practices) and their interpretation, set against this background, of the explicit (the utterance, silence, gesture) needs to find some mutual ground, involving their cultural self. The operation of mediation and negotiation will be considered in this context. © 1999 Springer-Verlag London Limited.",Culture; Knowledge transfer; Mediation; Negotiation; Propositional knowledge; Tacit knowledge; Cell culture; Knowledge management
Public perceptions of the use of artificial intelligence in Defence: a qualitative exploration,"Hadlington, L.; Karanika-Murray, M.; Slater, J.; Binder, J.; Gardner, S.; Knight, S.",AI and Society,2024,,,,10.1007/s00146-024-01871-w,"There are a wide variety of potential applications of artificial intelligence (AI) in Defence settings, ranging from the use of autonomous drones to logistical support. However, limited research exists exploring how the public view these, especially in view of the value of public attitudes for influencing policy-making. An accurate understanding of the public’s perceptions is essential for crafting informed policy, developing responsible governance, and building responsive assurance relating to the development and use of AI in military settings. This study is the first to explore public perceptions of and attitudes towards AI in Defence. A series of four focus groups were conducted with 20 members of the UK public, aged between 18 and 70, to explore their perceptions and attitudes towards AI use in general contexts and, more specifically, applications of AI in Defence settings. Thematic analysis revealed four themes and eleven sub-themes, spanning the role of humans in the system, the ethics of AI use in Defence, trust in AI versus trust in the organisation, and gathering information about AI in Defence. Participants demonstrated a variety of misconceptions about the applications of AI in Defence, with many assuming that a variety of different technologies involving AI are already being used. This highlighted a confluence between information from reputable sources combined with narratives from the mass media and conspiracy theories. The study demonstrates gaps in knowledge and misunderstandings that need to be addressed, and offers practical insights for keeping the public reliably, accurately, and adequately informed about the capabilities, limitations, benefits, and risks of AI in Defence. © The Author(s) 2024.",Artificial intelligence; Attitudes; Defence; Emergent technologies
Do we want AI judges? The acceptance of AI judges’ judicial decision-making on moral foundations,"Kim, T.; Peng, W.",AI and Society,2024,,,,10.1007/s00146-024-02121-9,"This study explored the acceptance of artificial intelligence-based judicial decision-making (AI-JDM) as compared to human judges, focusing on the moral foundations of the cases involved using within-subject experiments. The study found a general aversion toward AI-JDM regarding perceived risk, permissibility, and social approval. However, when cases are rooted in the moral foundation of fairness, AI-JDM receives slightly higher social approval, though the effect size remains small. The study also found that demographic factors like racial/ethnic status and age significantly affect these attitudes. Especially, racial/ethnic minorities showed more social approval in AI-JDM than the racial/ethnic majority (i.e., non-Hispanic whites). These findings show the potential role of machine heuristics in the acceptance of AI-JDM and have practical implications for the implementation of AI in judicial systems, particularly suggesting a cautious approach and underscoring the need to inform the public, especially minority groups, about the limitations and potential biases of AI-JDM. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.",Acceptance; Artificial intelligence; Machine heuristics; Moral foundations; Decision making; Economic and social effects; Ethical aspects; Decisions makings; Demographic factors; Effect size; Ethnic minorities; Hispanics; Machine heuristic; Moral foundation; Perceived risk; Subject experiment
Interdependence as the key for an ethical artificial autonomy,"Pianca, F.; Santucci, V. G.",AI and Society,2023,38,5,2045-2059,10.1007/s00146-021-01313-x,"Currently, the autonomy of artificial systems, robotic systems in particular, is certainly one of the most debated issues, both from the perspective of technological development and its social impact and ethical repercussions. While theoretical considerations often focus on scenarios far beyond what can be concretely hypothesized from the current state of the art, the term autonomy is still used in a vague or too general way. This reduces the possibilities of a punctual analysis of such an important issue, thus leading to often polarized positions (naive optimism or unfounded defeatism). The intent of this paper is to clarify what is meant by artificial autonomy, and what are the prerequisites that can allow the attribution of this characteristic to a robotic system. Starting from some concrete examples, we will try to indicate a way towards artificial autonomy that can hold together the advantages of developing adaptive and versatile systems with the management of the inevitable problems that this technology poses both from the viewpoint of safety and ethics. Our proposal is that a real artificial autonomy, especially if expressed in the social context, can only be achieved through interdependence with other social actors (human and otherwise), through continuous exchanges and interactions which, while allowing robots to explore the environment, guarantee the emergence of shared practices, behaviors, and ethical principles, which otherwise could not be imposed with a top-down approach, if not at the price of giving up the same artificial autonomy. © 2022, The Author(s).",Artificial autonomy; Ethics; Interdependence; Intrinsic motivations; Social robotics; Economic and social effects; Ethical technology; 'current; Artificial systems; Intrinsic motivation; Robotic systems; Social impact; State of the art; Technological development; Human robot interaction
We have to talk about emotional AI and crime,"Podoletz, L.",AI and Society,2023,38,3,1067-1082,10.1007/s00146-022-01435-w,"Emotional AI is an emerging technology used to make probabilistic predictions about the emotional states of people using data sources, such as facial (micro)-movements, body language, vocal tone or the choice of words. The performance of such systems is heavily debated and so are the underlying scientific methods that serve as the basis for many such technologies. In this article I will engage with this new technology, and with the debates and literature that surround it. Working at the intersection of criminology, policing, surveillance and the study of emotional AI this paper explores and offers a framework of understanding the various issues that these technologies present particularly to liberal democracies. I argue that these technologies should not be deployed within public spaces because there is only a very weak evidence-base as to their effectiveness in a policing and security context, and even more importantly represent a major intrusion to people’s private lives and also represent a worrying extension of policing power because of the possibility that intentions and attitudes may be inferred. Further to this, the danger in the use of such invasive surveillance for the purpose of policing and crime prevention in urban spaces is that it potentially leads to a highly regulated and control-oriented society. I argue that emotion recognition has severe impacts on the right to the city by not only undertaking surveillance of existing situations but also making inferences and probabilistic predictions about future events as well as emotions and intentions. © 2022, The Author(s).",Crime; Crime Prediction; Emotional AI; Policing; Predictive Policing; Public Security; Urban AI; Emotion Recognition; Monitoring; Data-source; Emerging technologies; Emotional state; Probabilistic prediction; Forecasting
Anthropomorphism in social robotics: empirical results on human–robot interaction in hybrid production workplaces,"Richert, A.; Müller, S.; Schröder, S.; Jeschke, S.",AI and Society,2018,33,3,413-424,10.1007/s00146-017-0756-x,"New forms of artificial intelligence on the one hand and the ubiquitous networking of “everything with everything” on the other hand characterize the fourth industrial revolution. This results in a changed understanding of human–machine interaction, in new models for production, in which man and machine together with virtual agents form hybrid teams. The empirical study “Socializing with robots” aims to gain insight especially into conditions of development and processes of hybrid human–machine teams. In the experiment, human–robot actions and interactions were closely observed in a virtual environment. Robots as partners differed in shape and behavior (reliable or faulty). Participants were instructed to achieve an objective that could only be achieved via close teamwork. This paper unites different aspects from core disciplines of social robotics and psychology contributing to anthropomorphization with the empirical insights of the experiment. It focuses on the psychological effects (e.g. reactions of different personality types) on anthropomorphization and mechanization, taking the inter- and transdisciplinary field of social robotics as a starting point. © 2017, Springer-Verlag London Ltd.",Anthropomorphism; Collaboration; Cyber-physical-systems; Human–machine interaction; Industry 4.0; Lightweight robotics; Personality; Problem solving behavior; Social robotics; Cyber Physical System; Economic and social effects; Embedded systems; Human form models; Machinery; Problem solving; Robotics; Virtual reality; Light-weight robotics; Human robot interaction
Organisational responses to the ethical issues of artificial intelligence,"Stahl, B. C.; Antoniou, J.; Ryan, M.; Macnish, K.; Jiya, T.",AI and Society,2022,37,1,23-37,10.1007/s00146-021-01148-6,"The ethics of artificial intelligence (AI) is a widely discussed topic. There are numerous initiatives that aim to develop the principles and guidance to ensure that the development, deployment and use of AI are ethically acceptable. What is generally unclear is how organisations that make use of AI understand and address these ethical issues in practice. While there is an abundance of conceptual work on AI ethics, empirical insights are rare and often anecdotal. This paper fills the gap in our current understanding of how organisations deal with AI ethics by presenting empirical findings collected using a set of ten case studies and providing an account of the cross-case analysis. The paper reviews the discussion of ethical issues of AI as well as mitigation strategies that have been proposed in the literature. Using this background, the cross-case analysis categorises the organisational responses that were observed in practice. The discussion shows that organisations are highly aware of the AI ethics debate and keen to engage with ethical issues proactively. However, they make use of only a relatively small subsection of the mitigation strategies proposed in the literature. These insights are of importance to organisations deploying or using AI, to the academic AI ethics debate, but maybe most valuable to policymakers involved in the current debate about suitable policy developments to address the ethical issues raised by AI. © 2021, The Author(s).",AI policy; Artificial intelligence; Case study; Ethics; Organisational response; Philosophical aspects; Case analysis; Case-studies; Empirical findings; Ethical issues; Mitigation strategy; Organisational; Policy development; Policy makers
"Moral distance, AI, and the ethics of care","Villegas-Galaviz, C.; Martin, K.",AI and Society,2024,39,4,1695-1706,10.1007/s00146-023-01642-z,"This paper investigates how the introduction of AI to decision making increases moral distance and recommends the ethics of care to augment the ethical examination of AI decision making. With AI decision making, face-to-face interactions are minimized, and decisions are part of a more opaque process that humans do not always understand. Within decision-making research, the concept of moral distance is used to explain why individuals behave unethically towards those who are not seen. Moral distance abstracts those who are impacted by the decision and leads to less ethical decisions. The goal of this paper is to identify and analyze the moral distance created by AI through both proximity distance (in space, time, and culture) and bureaucratic distance (derived from hierarchy, complex processes, and principlism). We then propose the ethics of care as a moral framework to analyze the moral implications of AI. The ethics of care brings to the forefront circumstances and context, interdependence, and vulnerability in analyzing algorithmic decision making. © The Author(s) 2023.",AI; AI ethics; Artificial intelligence; Ethics of care; Moral distance; Ethical technology; AI ethic; Algorithmics; Complex Processes; Decisions makings; Ethic of care; Face-to-face interaction; Spacetime; Decision making
Methods of AI for Multimodal Sensing and Action for Complex Situations,"Blasch, E.; Cruise, R.; Aved, A.; Majumder, U.; Rovito, T.",AI Magazine,2019,40,4,50-65,10.1609/aimag.v40i4.4813,"Artificial intelligence (AI) seeks to emulate human reasoning, but is still far from achieving such results for actionable sensing in complex situations. Instead of emulating human situation understanding, machines can amplify intelligence by accessing large amounts of data, filtering unimportant information, computing relevant context, and prioritizing results (for example, answers to human queries) to provide human-machine shared context. Intelligence support can come from many contextual sources that augment data reasoning through physical, environmental, and social knowledge. We propose a decisions-to-data multimodal sensor and action through contextual agents (human or machine) that seek, combine, and make sense of relevant data. Decisions-to-data combines AI computational capabilities with human reasoning to manage data collections, perform data fusion, and assess complex situations (that is, context reasoning). Five areas of AI developments for context-based AI that cover decisions-to-data include: (1) situation modeling (data at rest), (2) measurement control (data in motion), (3) statistical algorithms (data in collect), (4) software computing (data in transit), and (5) human-machine AI (data in use). A decisions-to-data example is presented of a command-guided swarm requiring contextual data analysis, systems-level design, and user interaction for effective and efficient multimodal sensing and action.",Computer Science
AI Rebel Agents,"Coman, A.; Aha, D. W.",AI Magazine,2018,39,3,16-26,10.1609/aimag.v39i3.2762,"The ability to say ""no"" in a variety of ways and contexts is an essential part of being sociocognitively human. Rebel agents are artificially intelligent agents that can refuse assigned goals and plans, or oppose the behavior or attitudes of other agents. Rebel agents can serve purposes such as ethics, safety, task execution correctness, and providing or supporting diverse points of view. Through several examples, we show that, despite ominous portrayals in science fiction, such AI agents with human-inspired noncompliance abilities have many potential benefits. We present a framework to help categorize and design rebel agents, discuss their social and ethical implications, and assess their potential benefits and the risks they may pose. In recognition of the fact that, in human psychology, noncompliance has profound sociocognitive implications, we also explore sociocognitive dimensions of AI rebellion: social awareness and counternarrative intelligence.",Computer Science
Negotiating Agents,"Jonker, C. M.; Hindriks, K. V.; Wiggers, P.; Broekens, J.",AI Magazine,2012,33,3,79-91,10.1609/aimag.v33i3.2421,"Negotiation is a complex emotional decision-making process aiming to reach an agreement to exchange goods or services. From an agent technological perspective creating negotiating agents that can support humans with their negotiations is an interesting challenge. After more than a decade of research, negotiating agents can outperform human beings (in terms of deal optimality) if the negotiation space is well understood. However, the inherent semantic problem and the emotional issues involved mean that negotiation cannot be handled by artificial intelligence alone, and a human-machine collaborative system is required. This article presents research goals, challenges, and an approach to create the next generation of negotiation support agents.",preference elicitation; models; Computer Science
Certifiable trust in autonomous systems: Making the intractable tangible,"Lyons, J. B.; Clark, M. A.; Wagner, A. R.; Schuelke, M. J.",AI Magazine,2017,38,3,37-49,10.1609/aimag.v38i3.2717,"Advances in robotics may reshape the landscape of daily life, yet those in the military have been part of the robotics revolution for some time now. One cannot traverse far within military echelons nor listen to the popular press without hearing planning, discussion, and for some, a great deal of concern regarding the military's latest push toward autonomous systems. The military's use of drones (uninhabited aerial systems, or UASs) has been a ubiquitous topic of discussion/criticism within the popular media for several years since their highly publicized use in regions such as Pakistan, Yemen, and Afghanistan. Much of the chagrin surrounding these systems, despite the fact they are currently teleoperated with human oversight and command, has to do with whether or not we can or should trust them in a combat environment. Robotic systems within the military may be operated in hostile, complex situations and may, someday, be given the authority to execute lethal decisions within the battle space (Arkin 2009). However, future concept of operations (CONOPS) will likely inject greater autonomy for understanding the trust dynamics that exist between humans and machines. As will be discussed in this article, the challenge of understanding these trust dynamics is more complicated than simply increasing the system's reliability.into these systems that will ultimately increase the need. © 2017, Association for the Advancement of Artificial Intelligence.",Antennas; Audition; Aerial systems; Autonomous systems; Combat environments; Concept of operations; Human oversight; Robotic systems; Teleoperated; Trust dynamics; Robotics
